Wavelength (nm),Abs,Concentration,,,,,,,,,,,,,,,,,
551.0178833,0.002950178,0.000000201,,,,,,,,,,,,,,,,,
549.9696655,0.002425025,0.000000201,,,,,,,,,,,,,,,,,
549.0709839,0.002294812,0.000000201,,,,,,,,,,,,,,,,,
548.0222168,0.001737494,0.000000201,,,,,,,,,,,,,,,,,
546.9732056,0.00178511,0.000000201,,,,,,,,,,,,,,,,,
546.0739136,0.001315314,0.000000201,,,,,,,,,,,,,,,,,
545.0244141,0.001973467,0.000000201,,,,,,,,,,,,,,,,,
543.9746704,0.001718626,0.000000201,,,,,,,,,,,,,,,,,
543.074707,0.001478376,0.000000201,,,,,,,,,,,,,,,,,
542.0245361,0.002129389,0.000000201,,,,,,,,,,,,,,,,,
540.9740601,0.001441001,0.000000201,,,,,,,,,,,,,,,,,
540.0734863,0.001506065,0.000000201,,,,,,,,,,,,,,,,,
539.022522,0.001038258,0.000000201,,,,,,,,,,,,,,,,,
537.9713135,0.000767057,0.000000201,,,,,,,,,,,,,,,,,
537.0701294,0.001859039,0.000000201,,,,,,,,,,,,,,,,,
536.0184326,0.001511157,0.000000201,,,,,,,,,,,,,,,,,
534.9665527,0.001128488,0.000000201,,,,,,,,,,,,,,,,,
534.0646973,0.001582181,0.000000201,,,,,,,,,,,,,,,,,
533.0123291,0.000586195,0.000000201,,,,,,,,,,,,,,,,,
531.9596558,4.79E-05,0.000000201,,,,,,,,,,,,,,,,,
531.0571899,0.000829142,0.000000201,,,,,,,,,,,,,,,,,
530.0040894,0.000510305,0.000000201,,,,,,,,,,,,,,,,,
528.9507446,0.000559419,0.000000201,,,,,,,,,,,,,,,,,
528.0476685,-0.000381288,0.000000201,,,,,,,,,,,,,,,,,
526.9938965,-0.000160929,0.000000201,,,,,,,,,,,,,,,,,
525.9398193,0.000256787,0.000000201,,,,,,,,,,,,,,,,,
525.0361328,-6.47E-05,0.000000201,,,,,,,,,,,,,,,,,
523.9816284,0.000279814,0.000000201,,,,,,,,,,,,,,,,,
522.9268188,0.000123986,0.000000201,,,,,,,,,,,,,,,,,
522.022522,-1.43E-05,0.000000201,,,,,,,,,,,,,,,,,
520.9672852,-3.41E-05,0.000000201,,,,,,,,,,,,,,,,,
520.0626221,-0.000540732,0.000000201,,,,,,,,,,,,,,,,,
519.006958,-0.000173971,0.000000201,,,,,,,,,,,,,,,,,
517.9509888,-1.99E-05,0.000000201,,,,,,,,,,,,,,,,,
517.0457153,-0.000505259,0.000000201,,,,,,,,,,,,,,,,,
515.9893188,-0.000334732,0.000000201,,,,,,,,,,,,,,,,,
514.9326782,-0.000813507,0.000000201,,,,,,,,,,,,,,,,,
514.0267944,-0.000453182,0.000000201,,,,,,,,,,,,,,,,,
512.9697266,-0.000391737,0.000000201,,,,,,,,,,,,,,,,,
512.0634766,-0.000735057,0.000000201,,,,,,,,,,,,,,,,,
511.0059509,-0.000290706,0.000000201,,,,,,,,,,,,,,,,,
509.9481506,-0.00020797,0.000000201,,,,,,,,,,,,,,,,,
509.0413208,-0.001018505,0.000000201,,,,,,,,,,,,,,,,,
507.9830933,-0.00047511,0.000000201,,,,,,,,,,,,,,,,,
506.9246216,-0.000515498,0.000000201,,,,,,,,,,,,,,,,,
506.0171814,-0.000803327,0.000000201,,,,,,,,,,,,,,,,,
504.9582825,-0.001124376,0.000000201,,,,,,,,,,,,,,,,,
504.0504456,-0.000934409,0.000000201,,,,,,,,,,,,,,,,,
502.9910889,-0.000773508,0.000000201,,,,,,,,,,,,,,,,,
501.9315186,-0.000911058,0.000000201,,,,,,,,,,,,,,,,,
501.0231018,-0.000173143,0.000000201,,,,,,,,,,,,,,,,,
499.9630737,-0.000331214,0.000000201,,,,,,,,,,,,,,,,,
499.0542908,0.000207085,0.000000201,,,,,,,,,,,,,,,,,
497.9938354,-0.000375443,0.000000201,,,,,,,,,,,,,,,,,
496.933136,-0.000703735,0.000000201,,,,,,,,,,,,,,,,,
496.0237732,-0.000566119,0.000000201,,,,,,,,,,,,,,,,,
494.9626465,-0.000477747,0.000000201,,,,,,,,,,,,,,,,,
494.052887,-0.000585353,0.000000201,,,,,,,,,,,,,,,,,
492.991333,5.02E-05,0.000000201,,,,,,,,,,,,,,,,,
491.9295349,-0.000725754,0.000000201,,,,,,,,,,,,,,,,,
491.0192261,-0.000939885,0.000000201,,,,,,,,,,,,,,,,,
489.9570007,-0.000683835,0.000000201,,,,,,,,,,,,,,,,,
489.0463257,-7.19E-05,0.000000201,,,,,,,,,,,,,,,,,
487.9836426,-6.23E-05,0.000000201,,,,,,,,,,,,,,,,,
487.0726013,-0.000277512,0.000000201,,,,,,,,,,,,,,,,,
486.0095215,-0.000177748,0.000000201,,,,,,,,,,,,,,,,,
484.9461975,-6.67E-05,0.000000201,,,,,,,,,,,,,,,,,
484.0346069,0.000132505,0.000000201,,,,,,,,,,,,,,,,,
482.9708557,-0.000192756,0.000000201,,,,,,,,,,,,,,,,,
482.0588989,-7.61E-05,0.000000201,,,,,,,,,,,,,,,,,
480.9947205,-0.000140538,0.000000201,,,,,,,,,,,,,,,,,
479.9303284,0.000105679,0.000000201,,,,,,,,,,,,,,,,,
479.0177917,0.000394785,0.000000201,,,,,,,,,,,,,,,,,
477.9529724,0.000799551,0.000000201,,,,,,,,,,,,,,,,,
477.0401001,0.000486592,0.000000201,,,,,,,,,,,,,,,,,
475.9748535,0.000336078,0.000000201,,,,,,,,,,,,,,,,,
475.061615,0.000445519,0.000000201,,,,,,,,,,,,,,,,,
473.9959717,0.000853937,0.000000201,,,,,,,,,,,,,,,,,
472.9300842,0.000509864,0.000000201,,,,,,,,,,,,,,,,,
472.0162964,0.000564863,0.000000201,,,,,,,,,,,,,,,,,
470.9500122,0.000479155,0.000000201,,,,,,,,,,,,,,,,,
470.0358582,0.000511523,0.000000201,,,,,,,,,,,,,,,,,
468.9691467,-0.00036427,0.000000201,,,,,,,,,,,,,,,,,
468.054657,0.000193152,0.000000201,,,,,,,,,,,,,,,,,
466.9875488,0.00060955,0.000000201,,,,,,,,,,,,,,,,,
466.0726929,0.001079128,0.000000201,,,,,,,,,,,,,,,,,
465.0051575,0.0002039,0.000000201,,,,,,,,,,,,,,,,,
463.9374084,0.000941872,0.000000201,,,,,,,,,,,,,,,,,
463.0220337,0.001090416,0.000000201,,,,,,,,,,,,,,,,,
461.9538879,3.33E-05,0.000000201,,,,,,,,,,,,,,,,,
461.038147,0.000307401,0.000000201,,,,,,,,,,,,,,,,,
459.9696045,0.000210349,0.000000201,,,,,,,,,,,,,,,,,
459.0534973,-0.000101151,0.000000201,,,,,,,,,,,,,,,,,
457.9845581,0.000281549,0.000000201,,,,,,,,,,,,,,,,,
457.0681152,-1.55E-06,0.000000201,,,,,,,,,,,,,,,,,
455.9987488,0.000116218,0.000000201,,,,,,,,,,,,,,,,,
454.9291687,0.000727798,0.000000201,,,,,,,,,,,,,,,,,
454.0122375,0.000715456,0.000000201,,,,,,,,,,,,,,,,,
452.9422607,0.000674698,0.000000201,,,,,,,,,,,,,,,,,
452.0249634,0.000476511,0.000000201,,,,,,,,,,,,,,,,,
450.9545898,0.000553976,0.000000201,,,,,,,,,,,,,,,,,
450.0369568,0.000321934,0.000000201,,,,,,,,,,,,,,,,,
448.9661865,0.000161973,0.000000201,,,,,,,,,,,,,,,,,
448.0482178,0.00085609,0.000000201,,,,,,,,,,,,,,,,,
446.9770508,0.001342033,0.000000201,,,,,,,,,,,,,,,,,
446.0587463,0.000661035,0.000000201,,,,,,,,,,,,,,,,,
444.9871826,0.000328177,0.000000201,,,,,,,,,,,,,,,,,
444.0685425,0.000867865,0.000000201,,,,,,,,,,,,,,,,,
442.996582,0.001156052,0.000000201,,,,,,,,,,,,,,,,,
441.9244385,0.001033821,0.000000201,,,,,,,,,,,,,,,,,
441.0052795,-0.000473041,0.000000201,,,,,,,,,,,,,,,,,
439.9327393,6.13E-05,0.000000201,,,,,,,,,,,,,,,,,
439.0132446,0.000466016,0.000000201,,,,,,,,,,,,,,,,,
437.9403076,0.001105728,0.000000201,,,,,,,,,,,,,,,,,
437.0205078,0.001084993,0.000000201,,,,,,,,,,,,,,,,,
435.9472046,0.001004397,0.000000201,,,,,,,,,,,,,,,,,
435.0270386,0.001327284,0.000000201,,,,,,,,,,,,,,,,,
433.9533386,0.001499675,0.000000201,,,,,,,,,,,,,,,,,
433.0328674,0.000440025,0.000000201,,,,,,,,,,,,,,,,,
431.9588013,0.000283699,0.000000201,,,,,,,,,,,,,,,,,
431.0379944,0.000643951,0.000000201,,,,,,,,,,,,,,,,,
429.963562,0.001426275,0.000000201,,,,,,,,,,,,,,,,,
429.0424194,0.000960525,0.000000201,,,,,,,,,,,,,,,,,
427.9675903,0.001201423,0.000000201,,,,,,,,,,,,,,,,,
427.0461426,0.00187443,0.000000201,,,,,,,,,,,,,,,,,
425.9709473,0.001425496,0.000000201,,,,,,,,,,,,,,,,,
425.0491943,0.001333828,0.000000201,,,,,,,,,,,,,,,,,
423.9736023,0.001631703,0.000000201,,,,,,,,,,,,,,,,,
423.0515137,0.001924843,0.000000201,,,,,,,,,,,,,,,,,
421.9755859,0.002235613,0.000000201,,,,,,,,,,,,,,,,,
421.0531616,0.00144352,0.000000201,,,,,,,,,,,,,,,,,
419.9768372,0.00213147,0.000000201,,,,,,,,,,,,,,,,,
419.0541382,0.001770477,0.000000201,,,,,,,,,,,,,,,,,
417.9774475,0.001889977,0.000000201,,,,,,,,,,,,,,,,,
417.0544128,0.002592775,0.000000201,,,,,,,,,,,,,,,,,
415.977356,0.00226957,0.000000201,,,,,,,,,,,,,,,,,
415.0540161,0.002247843,0.000000201,,,,,,,,,,,,,,,,,
413.976593,0.002183734,0.000000201,,,,,,,,,,,,,,,,,
413.0529175,0.003185585,0.000000201,,,,,,,,,,,,,,,,,
411.9751587,0.003063251,0.000000201,,,,,,,,,,,,,,,,,
411.051178,0.003222954,0.000000201,,,,,,,,,,,,,,,,,
409.9730225,0.003443298,0.000000201,,,,,,,,,,,,,,,,,
409.0487671,0.002922344,0.000000201,,,,,,,,,,,,,,,,,
407.9702454,0.003349168,0.000000201,,,,,,,,,,,,,,,,,
407.0456543,0.003166419,0.000000201,,,,,,,,,,,,,,,,,
